zt0chic	zt6chic	zt12chic	zt18chic
chr1_21228523_21233352	1	6	5	2
chr1_36300343_36305674	7	1	7	4
chr1_135026501_135030871	2	0	2	1
chr1_145622845_145627174	6	7	6	5
chr10_40349750_40352004	1	0	2	1
chr10_80162340_80166991	6	10	4	5
chr10_80379979_80385696	13	11	15	12
chr10_89082313_89087148	43	49	40	42
chr11_50137889_50139934	18	18	11	19
chr11_87203355_87219910	2	2	3	3
chr11_98521036_98528257	4	3	2	2
chr11_120679946_120689066	18	16	19	19
chr12_17551141_17552738	35	36	30	39
chr12_53067843_53072779	4	11	6	7
chr12_111939960_111941417	11	12	12	11
chr13_41110283_41114734	7	9	12	7
chr13_55463409_55464363	8	3	9	7
chr13_81842564_81851432	16	21	20	19
chr14_31982093_31989779	3	0	2	11
chr15_78736977_78746116	5	3	4	3
chr15_88649186_88651197	72	74	95	103
chr16_92056438_92059803	5	1	5	5
chr16_92464989_92470562	1	2	2	0
chr17_24356669_24363322	53	42	53	45
chr17_24590369_24608710	21	14	16	24
chr17_87660464_87667556	8	6	9	5
chr18_39077819_39089992	3	7	9	7
chr19_4094018_4111394	8	14	11	10
chr19_8967325_8973262	11	31	25	35
chr19_9034950_9042523	55	62	66	61
chr19_21547495_21548320	1	6	6	3
chr19_34358957_34365237	8	9	9	11
chr2_26459038_26462627	2	1	1	3
chr2_103401266_103412892	47	44	47	45
chr2_154227518_154244027	25	27	30	29
chr2_154899213_154913713	17	23	12	10
chr3_58328325_58330805	18	17	19	24
chr3_96041939_96045084	8	15	11	4
chr3_96328414_96329286	2	1	2	4
chr3_131224463_131232111	23	22	19	20
chr4_140690668_140701794	3	5	7	7
chr5_31351248_31367845	2	0	2	1
chr5_36825680_36836821	17	15	16	18
chr5_77727822_77740776	10	8	10	11
chr5_91063935_91073594	12	13	15	12
chr5_136405205_136414018	1	5	0	2
chr6_108772337_108779558	25	33	21	30
chr6_119493303_119503792	1	2	1	3
chr6_124605977_124617727	20	22	22	22
chr7_87482937_87486433	11	16	17	17
chr7_129163731_129167402	2	3	3	2
chr7_148660032_148672811	32	24	18	20
chr8_36433879_36440842	23	15	20	15
chr8_72606831_72617340	19	20	30	33
chr8_86515674_86526524	5	10	6	7
chr9_106337101_106340694	14	12	16	19
chr9_115207330_115222588	9	4	7	10
chr1_75225983_75243291	10	12	9	11
chr1_93310517_93324958	21	20	23	21
chr1_93348814_93356668	9	10	19	12
chr1_121967184_121970725	1	1	3	3
chr1_162133509_162147121	1	0	4	0
chr1_187150741_187156296	29	35	31	30
chr1_191744619_191751833	10	11	12	12
chr10_60607039_60613011	1	0	1	1
chr10_61148979_61159604	1	1	3	1
chr10_79252421_79256999	13	10	6	14
chr11_3994891_3999676	1	1	2	3
chr11_48999492_49001789	9	9	8	8
chr11_58747684_58754379	1	2	2	1
chr11_60624200_60626818	3	1	5	2
chr11_72220990_72266534	11	14	14	19
chr11_97019422_97026087	1	0	1	0
chr11_100389057_100395189	4	3	5	5
chr11_100980421_100984169	15	10	15	18
chr11_102977508_102980943	3	3	4	5
chr11_115664989_115696757	3	4	3	6
chr11_120433771_120438954	11	17	18	22
chr12_88487947_88489000	5	4	6	6
chr12_88598515_88608299	22	22	22	26
chr13_23828718_23833076	26	25	21	25
chr13_23851044_23857922	20	13	19	19
chr13_23931099_23933918	21	22	23	31
chr13_54675027_54676541	4	2	2	1
chr13_54685177_54692493	8	9	14	16
chr13_55696654_55708518	2	4	1	0
chr14_57239217_57239824	1	0	1	1
chr15_31528450_31538165	3	2	2	1
chr15_75741598_75752068	6	3	5	4
chr15_85857581_85866548	19	16	22	25
chr16_22856814_22858847	1	5	2	5
chr17_13200551_13202020	14	12	15	12
chr17_25147342_25155013	3	3	3	2
chr17_26003755_26009740	3	4	3	2
chr17_31521484_31524278	3	3	4	4
chr17_31699481_31702946	2	1	1	2
chr17_45706335_45711569	4	6	3	7
chr17_45729471_45737963	10	4	9	5
chr17_47640947_47647590	4	5	5	6
chr18_56559382_56561170	13	16	14	17
chr19_7114162_7115202	2	1	1	4
chr19_8962584_8965215	13	11	22	16
chr19_10674135_10682202	5	5	3	3
chr19_16852964_16856403	0	2	3	0
chr19_41956682_41974373	0	1	0	0
chr19_55201807_55204240	3	3	6	6
chr2_34727776_34740519	4	1	3	4
chr2_73223708_73225196	0	0	1	1
chr2_152656314_152672397	10	11	11	13
chr2_163469535_163472342	2	2	4	4
chr2_180452179_180462707	4	11	8	7
chr3_88093886_88105845	1	1	1	1
chr3_88354805_88362652	3	1	3	0
chr3_90237086_90238585	44	46	34	36
chr3_94162820_94180089	10	12	17	18
chr3_96431596_96434124	1	1	2	1
chr3_137922945_137925896	16	15	21	17
chr4_40088542_40090337	42	40	39	45
chr4_40668836_40671022	27	22	27	26
chr4_48284942_48301679	1	3	2	2
chr4_49561225_49565601	7	5	5	11
chr4_135516942_135524050	7	8	9	9
chr4_137349529_137354737	3	1	3	3
chr4_147309806_147312930	19	28	18	18
chr5_53130116_53135286	0	2	1	1
chr5_87764272_87767405	16	14	15	13
chr5_92974554_92987419	30	40	32	24
chr5_100467029_100469885	22	15	20	16
chr5_115420456_115427710	2	2	3	3
chr5_115607608_115610135	2	1	4	2
chr5_130478443_130482820	4	6	1	5
chr5_130499134_130505956	13	9	12	11
chr5_135606899_135626151	14	14	26	25
chr6_28414560_28428480	6	8	6	5
chr6_47763286_47763749	1	0	1	2
chr6_72305113_72305680	4	3	9	7
chr6_85770535_85772726	0	1	2	1
chr6_113427616_113442482	12	11	10	17
chr6_122552392_122568709	0	1	2	1
chr6_128386359_128396245	2	2	3	4
chr7_19574811_19588279	4	2	7	4
chr7_25290275_25292171	8	8	9	8
chr7_25390291_25399862	7	9	9	10
chr7_29060867_29066468	0	0	0	1
chr7_31014666_31018628	11	16	12	19
chr7_31101450_31114861	9	14	7	7
chr7_35008480_35016830	18	12	15	10
chr7_53263683_53291684	2	1	2	2
chr8_13492432_13494931	3	2	3	1
chr8_73983719_73991034	10	11	12	9
chr8_74134916_74136124	2	1	12	6
chr8_113141231_113145094	1	0	2	1
chr8_122105663_122129273	6	15	13	16
chr9_21792971_21810159	3	0	4	1
chr9_24306847_24312404	8	9	11	7
chr9_40607478_40616459	11	16	9	15
chr9_44180266_44193048	3	2	4	1
chrX_33865229_33874507	6	8	5	7
chrX_103206683_103207828	7	6	8	6
chrX_147022649_147024270	1	3	1	1
