3	1	0	3	20	5	8	1	1	5	2	5	5	7	3	6	3
4	6	31	8	7	4	3	32	4	10	21	0	12	11	17	12	2
0	4	3	16	5	1	8	9	9	2	0	0	1	14	36	3	3
1	17	2	32	32	8	2	7	1	10	0	4	34	0	22	17	3
11	0	9	2	6	3	32	32	4	18	37	15	7	1	25	3	2
48	11	6	1	25	6	4	4	15	21	0	1	0	4	18	1	9
6	30	2	24	13	2	6	25	1	7	4	1	0	25	5	25	11
59	7	1	23	4	1	2	18	24	9	5	1	28	0	8	5	1
25	116	3	15	0	3	4	1	26	0	46	34	25	25	9	36	8
26	1	14	24	3	23	16	5	10	1	1	6	18	0	15	48	4
13	12	12	13	1	24	2	14	18	2	16	6	6	25	128	0	4
5	11	1	0	14	0	0	11	0	1	7	10	14	8	47	13	2
23	15	0	0	0	10	14	1	1	15	0	4	0	1	0	4	4
0	2	2	1	10	21	22	1	6	10	35	31	3	44	13	17	116
9	0	0	2	0	1	14	13	32	3	9	18	26	18	5	3	1
26	17	13	9	43	0	3	12	14	28	52	7	3	14	9	2	131
0	19	20	13	2	23	5	1	1	3	6	2	18	10	8	10	14
0	12	6	0	8	27	3	12	4	6	1	131	4	2	4	4	6
10	0	2	0	6	2	39	18	11	0	1	4	11	4	17	0	8
38	0	18	5	2	4	23	3	0	43	23	17	34	8	9	0	13
4	18	1	14	12	1	1	1	5	3	2	12	7	2	12	5	11
0	0	1	20	14	13	17	12	1	0	19	0	10	31	15	10	12
9	0	4	32	4	48	7	16	0	1	10	15	43	13	18	31	3
5	4	21	9	56	15	1	25	21	42	8	4	13	4	30	3	6
4	0	8	3	6	25	8	4	3	3	21	1	10	13	1	8	33
7	3	40	0	5	15	14	14	29	21	1	179	9	12	2	24	5
1	4	1	19	16	1	11	1	25	2	2	15	5	7	7	1	39
21	1	2	16	3	3	2	0	6	0	7	14	4	12	57	21	1
23	18	1	2	21	179	0	0	0	4	3	0	8	14	17	28	7
14	1	2	34	0	0	1	30	11	36	2	14	10	10	7	8	1
3	0	10	4	4	1	2	5	3	4	11	7	0	5	4	2	16
5	18	4	19	26	16	1	10	4	19	28	9	3	23	20	13	7
77	179	16	34	6	3	4	10	19	5	70	8	3	33	3	0	2
2	3	1	2	25	4	0	5	17	15	3	10	26	2	5	12	4
2	3	22	7	43	3	30	8	9	8	32	4	18	1	4	7	5
22	11	7	4	15	4	14	4	15	3	43	5	12	3	4	29	16
23	26	1	36	0	35	2	12	3	2	7	13	9	6	3	6	14
13	28	16	21	59	0	30	15	2	12	8	49	0	44	20	20	1
6	2	10	37	12	9	89	92	1	0	0	1	0	8	5	49	47
11	13	1	32	9	2	9	24	10	12	79	179	4	8	0	0	6
16	12	11	21	16	10	5	3	3	8	52	14	16	3	37	19	1
2	6	0	1	33	36	9	2	8	9	16	6	19	4	8	1	20
15	4	1	11	17	18	7	7	8	36	6	3	4	7	4	11	6
0	5	14	28	1	9	0	3	3	1	3	13	10	12	36	2	6
7	61	2	38	9	1	13	20	18	1	9	5	16	0	7	24	2
0	25	13	1	4	10	0	8	4	52	11	2	10	47	1	31	6
25	29	26	4	35	0	4	1	18	4	2	23	0	0	36	4	9
4	16	24	50	1	2	3	2	4	27	23	11	8	1	36	28	7
25	3	0	10	179	25	5	27	12	0	2	12	6	15	19	14	16
1	9	1	31	1	21	1	13	2	13	21	10	4	0	0	38	16
19	2	3	2	48	37	8	4	15	0	17	3	3	4	0	1	13
6	8	4	14	13	4	28	48	5	3	8	11	4	1	3	8	10
0	4	3	23	13	50	3	30	5	2	4	50	15	4	47	6	0
4	10	1	5	9	24	10	22	3	5	9	8	0	7	1	0	15
6	18	8	11	27	9	6	0	25	12	13	8	49	1	13	0	3
11	3	4	3	14	0	3	5	8	3	21	22	5	37	6	9	1
15	46	4	6	16	3	25	4	5	0	1	28	11	36	8	28	12
0	10	4	20	6	1	25	16	10	2	14	2	4	3	1	10	0
3	128	0	26	6	4	43	3	0	11	16	8	12	29	1	2	1
8	27	5	4	14	4	27	42	1	1	8	0	0	15	2	2	9
43	4	13	21	4	15	9	4	5	13	0	2	47	14	3	5	47
2	6	3	11	15	1	1	6	3	11	44	5	2	10	1	13	4
25	8	0	40	25	6	1	5	0	4	16	3	6	6	2	2	9
2	15	0	8	1	4	35	105	23	7	11	22	4	1	7	6	2
11	1	1	4	28	19	3	7	3	19	11	62	2	7	5	13	14
21	12	37	10	2	16	0	14	21	0	3	47	38	0	0	6	2
4	1	11	14	17	28	0	9	22	9	34	0	5	7	0	7	1
8	12	6	4	1	1	1	1	10	2	32	0	4	11	16	10	13
2	7	32	11	21	3	16	11	16	1	3	4	10	21	6	7	4
4	1	2	8	39	0	0	4	15	6	1	0	1	2	1	12	11
7	6	2	1	2	7	0	13	29	9	21	2	10	4	4	5	49
1	11	23	20	0	1	28	1	20	32	47	2	16	3	14	48	20
2	0	1	2	18	16	15	4	2	0	25	7	4	0	1	5	5
9	5	16	4	42	0	10	4	0	2	21	25	4	0	14	2	4
15	9	5	6	3	1	5	0	7	19	0	2	9	37	3	28	36
20	0	50	18	5	6	1	21	14	0	12	8	11	11	10	47	2
19	1	13	18	16	10	3	16	7	4	20	7	4	3	8	0	14
7	15	3	46	21	1	21	12	4	15	11	10	28	60	6	2	19
0	1	8	39	1	7	12	16	1	4	18	6	0	22	5	2	3
3	4	21	0	5	4	8	1	61	44	39	6	19	7	0	2	29
13	89	12	2	6	26	0	3	1	12	50	0	0	29	11	10	0
3	4	12	19	27	9	3	0	1	6	23	0	2	4	7	18	8
4	5	3	20	0	26	8	26	20	49	11	10	3	9	29	36	4
28	1	13	3	1	0	8	0	59	6	8	23	9	21	2	3	0
8	49	26	9	7	4	7	4	8	4	7	1	38	45	2	25	19
