zt0chic	zt6chic	zt12chic	zt18chic
chr1_38185274_38188649	13	24	26	16
chr1_59026581_59031548	2	2	0	2
chr1_64735356_64738805	14	15	15	9
chr1_69149923_69156234	2	9	1	10
chr1_132606145_132614938	14	13	14	14
chr1_134035181_134036782	0	0	1	2
chr1_172797098_172804265	2	5	3	6
chr1_182570217_182576097	6	5	4	3
chr10_6370930_6373506	36	32	35	33
chr10_31163817_31167652	1	3	3	3
chr10_41993265_42018813	48	45	55	44
chr10_79788286_79805950	3	1	2	4
chr10_85755898_85767038	37	42	36	38
chr10_126697050_126704872	8	5	7	6
chr11_60035885_60036740	3	2	5	3
chr11_68908170_68909614	4	5	16	8
chr11_69757201_69762442	6	2	1	5
chr11_72989671_72991464	4	2	3	2
chr11_78361734_78367205	7	6	6	8
chr11_83935116_83944569	17	9	12	17
chr11_101162079_101169615	25	26	25	29
chr11_106858415_106864881	16	9	10	10
chr11_110112874_110118731	1	1	3	0
chr11_116353217_116359877	2	1	0	1
chr11_121097549_121100164	14	17	14	15
chr12_25388407_25400238	33	49	24	23
chr12_33500806_33507213	19	21	24	21
chr12_72037602_72039006	3	6	5	4
chr12_72930239_72934582	37	47	50	43
chr13_4272556_4280867	52	55	41	49
chr13_41086762_41106784	13	15	15	18
chr13_63063925_63072534	28	27	20	21
chr13_74073150_74075852	30	29	36	42
chr14_21289204_21302185	4	10	5	5
chr14_47450957_47453823	9	16	15	12
chr14_55172342_55173350	31	35	31	25
chr14_58508666_58515590	8	7	7	6
chr14_59819630_59823439	15	9	10	13
chr14_61664314_61665737	31	31	30	27
chr15_38587151_38592425	6	7	5	8
chr15_82105185_82106093	9	7	11	4
chr15_83194674_83198755	12	14	17	16
chr15_96528220_96532942	32	39	34	32
chr16_32421738_32433059	1	1	0	2
chr17_17510720_17511590	35	39	42	45
chr17_26642107_26655736	35	23	37	34
chr17_28994009_28996085	1	3	2	1
chr17_53985492_53985861	26	20	27	17
chr17_64942171_64956579	4	7	8	4
chr17_71529129_71536091	36	33	42	34
chr17_73183502_73188427	2	3	4	1
chr17_78596499_78603057	27	37	36	33
chr18_33617131_33624719	23	23	23	20
chr19_7278076_7288919	20	19	30	25
chr19_21725419_21729303	5	5	10	8
chr19_25032382_25040140	21	31	25	24
chr19_32559747_32563599	21	33	22	28
chr19_37277402_37285437	23	27	25	25
chr19_56621709_56625261	12	17	16	9
chr19_58526991_58538206	15	30	22	25
chr2_25217966_25225617	25	22	17	18
chr2_27530956_27534306	33	35	38	38
chr2_32388545_32396138	10	6	8	9
chr2_72069307_72072497	12	13	11	12
chr2_76511985_76514935	3	4	5	6
chr2_91295115_91306549	32	32	25	28
chr2_128767052_128771388	8	13	14	13
chr2_146837469_146839688	1	1	2	5
chr2_155413171_155426679	7	5	7	6
chr2_155552076_155557190	0	2	1	0
chr2_155640154_155653592	1	1	1	4
chr2_160188991_160193744	17	20	33	30
chr2_167243800_167248124	5	8	11	10
chr2_167507276_167517688	34	33	34	39
chr2_172977974_172979212	9	8	11	15
chr2_174296194_174300604	17	22	17	27
chr2_179776309_179778249	11	15	15	14
chr3_33975713_33981023	13	7	11	9
chr3_81731484_81737989	7	14	18	14
chr3_89576446_89581941	16	15	10	12
chr3_96071571_96083462	15	14	15	16
chr3_101406483_101409556	19	25	24	22
chr3_129235011_129238025	27	34	31	29
chr3_142193210_142194135	15	12	11	15
chr3_144380210_144387288	1	3	3	1
chr3_146061412_146068670	13	21	25	18
chr4_11001727_11003636	34	39	38	33
chr4_45418017_45421933	10	10	12	10
chr4_108131214_108134359	16	20	17	19
chr4_117552682_117562810	11	13	14	7
chr4_128734620_128736951	28	36	30	34
chr5_8657491_8661374	4	7	6	6
chr5_8893093_8898937	13	18	11	10
chr5_23917329_23936727	11	10	14	9
chr5_24080471_24083578	1	1	9	6
chr5_31351248_31367845	2	0	2	1
chr5_36806599_36808245	20	24	23	23
chr5_54388501_54392678	30	35	39	25
chr5_65826526_65831621	4	1	4	8
chr5_77727822_77740776	10	8	10	11
chr5_134654713_134663021	63	71	62	56
chr5_144661151_144675095	2	3	1	0
chr5_151320363_151325673	13	21	14	15
chr6_6154740_6175046	21	18	20	19
chr6_86341576_86351017	15	13	14	15
chr6_108608455_108611448	107	105	127	111
chr6_113646178_113648095	12	5	11	8
chr7_52956740_52963554	1	17	12	7
chr7_71075250_71085875	21	38	26	30
chr7_72788506_72795869	2	1	2	3
chr7_73251520_73255336	12	10	12	11
chr7_74789416_74797935	16	16	21	12
chr7_96539337_96554600	42	47	43	48
chr7_107124032_107129539	5	6	7	8
chr7_123584387_123588166	23	24	24	21
chr7_125846839_125865049	12	12	14	16
chr7_134156786_134165150	13	14	17	14
chr7_148064492_148070665	12	11	13	9
chr7_148632843_148646421	10	17	18	22
chr7_149100407_149105794	5	4	3	4
chr7_152118111_152126715	38	38	33	35
chr8_125134753_125135798	7	9	7	8
