8	125	17	54	52	20	11	21	20	10	36	8	125
3	2	25	20	14	53	27	6	18	29	10	2	3
38	46	14	14	3	4	22	18	3	40	15	9	20
15	37	6	16	3	7	27	4	18	4	9	33	3
15	2	7	6	3	7	83	17	15	55	4	7	15
4	6	7	25	29	33	27	50	5	71	5	71	14
6	21	34	14	4	22	6	17	20	28	6	21	34
2	4	14	7	24	10	3	2	17	34	18	51	2
8	19	9	26	11	5	55	71	11	5	32	7	3
99	26	14	12	90	20	11	51	7	6	6	10	99
32	35	15	32	11	5	4	6	3	1	2	2	19
3	17	71	17	10	28	8	25	60	18	1	3	3
36	19	40	9	6	23	21	47	14	7	10	7	12
14	10	47	94	46	17	5	51	48	52	9	27	37
38	9	3	41	9	9	4	1	10	1	3	29	38
42	9	3	3	22	5	14	44	17	55	3	18	42
40	17	5	14	11	7	139	29	3	71	7	7	4
20	22	11	29	2	3	15	36	20	14	5	7	44
29	3	3	23	7	7	10	28	35	3	11	9	1
18	17	3	3	4	23	11	26	2	7	69	39	5
3	3	2	18	41	6	3	17	46	6	26	35	1
71	2	2	2	8	2	3	9	24	20	12	14	71
9	2	6	34	70	8	2	40	24	6	33	39	9
50	16	2	39	16	47	21	29	14	8	23	6	20
94	7	16	16	28	13	15	5	6	4	10	9	94
9	42	38	7	3	67	15	7	16	11	40	25	10
3	27	11	1	4	28	46	7	1	3	8	5	37
22	3	99	36	73	26	13	13	36	29	3	22	3
30	7	1	17	19	18	41	7	14	35	27	23	9
24	20	8	4	23	10	32	71	10	35	5	17	24
4	1	6	9	29	4	28	16	16	30	7	5	4
8	15	47	55	17	3	16	35	3	16	5	6	8
25	13	2	14	41	10	8	14	30	46	25	13	2
4	30	36	12	5	1	10	71	18	6	61	41	33
5	22	30	11	10	3	7	18	65	20	5	1	5
5	132	5	11	9	35	6	7	2	15	14	14	47
2	9	9	20	1	14	3	11	14	83	1	2	9
146	28	5	5	6	17	17	3	3	18	9	20	60
1	27	1	2	9	13	3	25	12	29	10	34	1
20	56	27	19	4	42	8	48	15	12	41	9	50
20	22	11	37	20	9	14	1	3	43	7	24	13
1	4	21	3	1	8	6	55	5	72	7	3	10
27	14	10	7	11	2	5	8	10	1	2	1	17
5	21	94	7	7	28	13	16	63	74	87	10	53
21	20	6	3	3	8	9	2	125	4	34	9	28
1	21	36	11	39	39	1	8	7	35	12	18	1
8	35	7	41	3	7	14	25	10	36	10	51	8
77	19	16	112	34	40	13	20	3	10	5	63	7
20	5	4	2	36	4	63	31	9	5	71	3	12
11	71	27	40	18	27	11	20	57	4	5	5	3
38	18	10	9	8	16	40	20	6	17	30	43	38
41	10	8	2	10	7	32	7	77	3	4	4	3
5	10	2	17	42	92	18	25	9	19	31	2	5
125	9	4	39	41	24	7	41	4	29	20	35	8
9	9	81	99	10	1	20	1	8	4	5	83	9
25	11	7	2	14	7	19	17	132	28	18	3	25
5	3	10	1	4	33	3	16	16	8	18	5	12
71	3	16	15	16	42	27	12	9	2	34	4	71
25	27	6	20	6	11	5	28	1	10	2	6	25
13	2	18	14	6	4	29	1	47	23	60	50	13
7	3	4	29	6	20	2	13	11	12	1	2	11
20	5	16	5	10	7	11	5	7	10	72	7	10
10	9	40	8	81	3	8	13	4	14	7	10	5
3	5	25	20	6	27	9	19	27	11	10	21	3
4	16	32	41	2	71	1	38	12	51	111	40	4
36	12	3	16	7	5	71	25	10	5	5	27	13
5	3	6	37	5	41	52	7	11	11	4	5	2
40	10	24	13	3	34	7	33	15	4	17	5	2
52	6	32	25	4	14	20	4	10	23	29	34	52
10	12	7	26	8	34	8	3	42	35	9	43	7
29	2	28	6	20	28	1	16	13	4	7	40	2
2	13	25	31	34	6	84	2	4	6	17	36	17
13	27	55	18	23	24	22	23	4	8	1	36	13
6	23	4	12	6	6	10	3	38	40	34	1	10
2	5	3	2	42	41	13	9	81	25	3	5	7
23	25	10	3	2	18	9	9	3	67	11	6	46
29	20	5	40	14	20	8	20	18	23	1	1	29
23	42	42	4	12	61	1	14	3	14	12	70	47
48	11	2	32	36	1	9	2	66	52	8	6	6
1	17	7	5	17	10	6	11	6	10	5	59	18
8	125	28	19	40	28	18	4	20	8	4	20	1
5	5	1	32	73	10	25	27	22	2	5	13	5
27	69	23	8	139	77	10	43	34	20	13	17	16
4	5	22	6	86	7	21	52	11	5	12	21	6
33	18	11	39	24	14	2	2	4	42	4	15	13
29	2	20	47	3	9	12	9	7	5	7	8	29
20	1	10	10	3	10	4	2	25	17	4	8	14
3	2	11	5	6	3	47	83	20	3	20	6	3
9	42	13	32	17	12	33	5	69	7	11	10	9
22	50	5	34	18	10	5	5	47	10	31	1	2
14	27	13	2	47	72	4	3	1	5	2	5	9
3	20	19	19	6	1	11	3	61	55	1	25	11
3	27	5	107	2	19	37	25	52	28	11	5	1
8	16	1	17	71	39	5	3	40	36	37	2	21
5	39	21	8	11	34	12	13	49	6	2	14	5
5	3	5	20	1	6	31	12	20	5	2	18	5
18	7	3	3	111	20	22	1	18	61	42	17	32
20	8	14	31	4	69	4	2	17	71	51	4	8
10	5	2	3	18	10	20	9	73	4	27	8	26
2	36	92	42	7	31	16	29	18	1	2	9	11
