12	2	2	4	22	10	8	1	1	8	8	13	8	10	5	6	3
6	9	57	15	10	13	12	44	4	10	38	2	7	11	23	13	3
9	4	19	9	6	6	11	10	2	1	4	14	38	4	5	9	4
3	37	3	52	19	12	2	7	6	13	5	34	30	23	3	3	37
20	1	22	7	12	4	44	44	12	41	55	24	17	14	41	3	2
76	29	7	4	37	10	4	12	21	32	4	6	9	36	5	17	76
9	46	15	44	24	5	9	37	11	11	13	1	3	40	7	47	13
67	9	1	31	6	6	5	42	48	17	11	3	52	2	12	14	3
38	142	7	27	2	11	11	2	40	7	70	38	51	43	14	24	13
40	3	18	44	15	39	23	11	11	8	5	7	34	4	24	76	11
17	18	21	16	4	26	3	29	28	4	26	10	18	25	84	6	9
13	17	3	6	15	5	2	28	1	11	16	24	12	59	24	3	13
28	26	1	2	1	11	20	7	3	19	4	5	1	11	6	28	26
2	6	4	28	32	31	3	5	10	66	46	4	54	29	19	142	2
20	2	5	3	1	26	16	19	8	18	34	13	37	7	3	5	20
43	24	17	40	56	3	3	29	15	57	39	14	4	21	16	5	149
1	40	22	29	2	23	6	4	1	15	7	3	42	28	20	27	15
1	24	9	10	62	5	18	11	11	5	149	8	4	5	9	12	1
30	1	7	5	18	4	63	32	12	5	5	11	10	17	9	30	1
50	2	39	7	11	21	27	4	1	56	39	18	34	8	16	2	24
6	28	4	16	28	1	3	1	7	8	3	18	21	2	29	7	14
3	4	38	21	17	37	17	3	5	36	1	15	39	27	30	22	3
23	1	4	44	13	68	23	27	5	2	26	20	58	29	33	46	5
6	8	21	10	76	24	4	30	35	48	18	6	16	4	46	3	6
4	14	7	12	39	13	6	4	12	31	3	10	25	4	24	50	4
17	3	55	2	16	26	15	14	54	32	3	137	10	30	3	41	7
3	11	4	30	30	5	47	1	45	9	4	23	5	12	10	4	59
32	1	14	23	11	6	5	9	2	10	29	8	14	72	25	1	32
25	28	3	2	32	137	4	6	3	17	15	25	52	9	25	28	3
14	1	9	34	3	5	46	28	48	2	28	15	11	23	17	8	14
3	13	10	6	3	8	7	3	13	11	13	1	13	11	3	22	3
9	36	7	36	15	32	1	24	5	21	50	16	3	36	38	25	26
113	137	21	45	5	3	6	11	45	19	83	17	8	54	3	2	113
3	3	1	10	34	11	5	25	17	6	14	38	8	6	23	11	3
5	9	23	10	46	7	42	17	15	15	19	11	39	5	6	26	6
30	20	30	11	24	5	22	6	30	3	58	6	12	7	4	41	23
28	40	1	24	46	15	18	3	6	23	18	23	22	3	11	31	28
24	47	24	28	77	46	26	2	18	21	66	54	32	38	1	24	47
12	15	10	59	32	15	103	111	4	3	5	24	9	75	68	12	15
16	17	4	49	18	11	9	41	15	13	93	137	9	9	6	6	7
26	22	12	25	27	36	14	6	4	17	40	22	21	10	44	23	2
6	12	6	1	50	36	18	7	25	9	26	7	40	11	8	1	25
20	13	2	41	37	39	9	26	19	24	9	4	6	20	5	19	10
7	22	57	7	10	6	4	3	15	15	10	13	24	3	7	7	22
7	76	5	50	18	15	24	49	28	1	9	16	21	2	8	35	2
2	33	29	10	13	23	3	10	9	39	20	6	30	55	1	44	12
34	54	39	5	66	11	1	28	7	14	36	4	1	46	5	17	34
6	27	35	76	8	5	11	2	9	33	31	23	10	1	24	17	11
37	3	23	137	33	6	38	7	9	12	7	21	36	21	32	37	3
6	22	4	59	5	28	1	16	9	29	28	27	19	50	19	6	22
37	4	15	5	59	30	12	6	27	25	4	25	4	3	23	37	4
10	16	4	15	14	16	47	68	7	17	12	12	4	2	10	9	18
8	4	23	24	76	11	45	9	2	6	62	16	5	59	27	5	8
7	10	1	8	23	41	18	46	6	10	9	16	6	30	3	5	18
5	25	15	17	37	18	9	3	30	20	21	9	75	2	23	4	5
18	4	12	15	44	7	6	10	9	32	43	6	44	12	18	3	18
27	71	9	11	26	8	45	6	7	2	2	35	25	46	9	28	20
19	5	38	12	4	37	21	16	9	20	8	9	3	4	18	4	19
3	84	39	10	5	58	18	7	14	16	9	28	54	4	11	2	3
13	36	6	6	28	11	38	58	15	2	8	23	5	11	9	13	36
46	11	24	31	18	21	18	17	10	21	1	11	55	14	4	9	68
8	10	3	35	15	5	8	9	4	23	69	7	4	13	1	24	25
33	9	1	47	38	18	3	7	2	9	16	4	19	10	7	5	18
2	24	9	1	4	66	125	36	9	15	24	5	5	8	16	8	2
11	3	3	5	17	32	3	15	6	21	20	81	11	14	8	23	26
38	12	30	19	3	19	20	35	11	59	46	2	6	5	4	38	12
4	1	47	14	24	28	3	23	24	11	34	13	21	19	2	4	1
13	20	6	13	1	2	1	2	18	8	49	3	6	12	16	15	21
9	8	44	11	26	3	27	20	16	11	3	8	11	35	9	19	4
7	2	9	16	64	1	12	20	19	3	2	10	7	2	13	20	7
20	27	2	3	3	12	2	17	44	18	31	9	19	7	5	7	75
1	12	36	25	2	6	51	5	32	52	68	2	29	4	16	76	38
2	1	2	2	37	19	19	12	7	39	17	11	1	5	9	8	2
11	7	27	11	58	6	10	8	5	8	28	49	5	2	21	4	8
27	18	7	12	5	10	5	26	21	2	6	20	30	11	52	24	27
39	76	30	7	6	3	28	24	7	24	17	12	13	15	58	5	39
32	1	19	25	30	11	15	16	11	14	21	12	9	5	8	21	32
11	27	3	52	21	9	28	22	11	26	12	15	52	92	9	2	21
2	6	18	59	3	19	24	40	4	12	36	16	3	30	5	15	6
4	11	27	12	21	9	3	76	54	64	10	36	7	3	2	41	4
24	103	13	5	10	13	4	3	12	69	3	2	54	25	19	24	103
4	6	13	30	35	40	9	2	4	13	36	4	2	6	9	28	8
21	11	4	25	4	38	9	15	21	66	35	12	3	20	41	59	7
28	1	17	7	3	2	15	1	77	7	16	23	9	26	6	5	8
8	75	15	11	13	14	15	16	9	4	12	4	46	68	3	41	45
12	21	3	4	17	9	5	17	18	6	11	3	55	32	25	7	1
34	35	6	56	23	10	19	24	93	6	6	20	24	5	23	5	15
2	11	46	8	6	64	42	37	17	43	1	31	29	15	58	6	1
28	47	32	16	19	27	41	2	3	12	25	14	36	18	3	16	28
2	24	18	22	18	6	9	1	3	18	10	2	35	8	71	44	4
20	2	11	19	16	1	31	3	22	2	10	21	7	6	40	2	26
10	7	23	3	5	3	31	13	103	21	11	109	3	21	35	11	9
29	26	17	23	6	7	7	1	17	2	22	27	13	2	45	25	29
4	19	6	31	3	24	9	14	3	17	17	22	2	18	12	5	4
4	18	15	48	28	12	40	2	3	17	10	10	21	3	2	9	27
20	24	10	11	3	12	3	19	8	11	9	4	13	27	76	21	44
27	27	13	4	21	19	11	15	42	12	50	19	46	39	55	11	6
24	3	5	14	44	76	68	15	59	4	9	3	26	24	10	7	24
52	12	2	5	11	34	81	4	4	4	54	2	28	38	27	52	12
1	14	3	6	6	3	1	6	4	59	59	8	20	4	1	44	1
