zt0chic	zt6chic	zt12chic	zt18chic
chr1_36568051_36572552	24	26	27	21
chr1_39249557_39251208	14	8	8	12
chr1_74321770_74333046	18	22	21	16
chr1_74631367_74639738	4	4	3	0
chr1_182121069_182133468	22	27	28	25
chr1_182191074_182194266	27	22	26	22
chr10_41422709_41429713	6	7	6	5
chr10_67005532_67012442	9	20	9	14
chr10_121883020_121886993	18	21	14	15
chr10_126722720_126728057	11	2	5	5
chr11_20724408_20735574	3	1	0	2
chr11_74453749_74469504	59	60	57	61
chr11_75000462_75009449	13	9	12	14
chr11_97659861_97664096	10	12	11	11
chr11_102089938_102093720	4	4	3	3
chr12_114375776_114387140	11	11	11	8
chr13_14044384_14048511	37	33	36	39
chr15_10637798_10645145	22	21	21	25
chr15_75721471_75726270	3	1	3	6
chr15_88649186_88651197	72	74	95	103
chr16_10542151_10546889	2	3	4	4
chr16_90738245_90747538	11	5	6	6
chr16_96357088_96371434	1	3	3	2
chr17_35085334_35101627	7	7	7	6
chr17_56411392_56416905	18	21	14	17
chr19_6115651_6118917	2	1	1	1
chr19_10760900_10766605	21	20	24	18
chr19_36809285_36814095	58	51	48	57
chr19_42679403_42688750	1	1	4	4
chr19_46146867_46153251	40	35	39	39
chr19_46220196_46225773	14	10	14	10
chr19_46411186_46418414	11	10	15	15
chr19_47538303_47543330	31	29	31	33
chr19_60960361_60968252	31	28	26	26
chr2_25315927_25321148	13	6	12	11
chr2_157395706_157399980	15	12	17	15
chr3_94586751_94591168	70	50	65	79
chr4_11537942_11543878	33	38	31	38
chr4_62164365_62179781	22	27	26	26
chr4_144476712_144483511	111	109	109	108
chr5_74462448_74465320	7	8	7	9
chr5_122944598_122954392	14	11	11	12
chr5_147655408_147660958	4	7	7	5
chr6_48543194_48547720	14	31	21	25
chr6_83064630_83070634	13	14	12	10
chr7_4380825_4398094	22	33	31	31
chr7_119506000_119515738	50	45	50	50
chr7_130603999_130609109	24	20	23	27
chr7_148522110_148528613	11	7	9	10
chr8_73895343_73911619	8	3	4	6
chr8_86495177_86498797	10	8	11	18
chr8_108281872_108284514	12	13	12	15
chr9_18094928_18098107	24	20	29	26
chr9_106347668_106354721	21	20	30	27
chr9_106785659_106795932	28	27	24	30
chr9_107431795_107439565	4	4	2	8
chr9_108197806_108200773	8	4	2	3
chr9_110554057_110560469	21	18	23	25
chr9_110779189_110787927	13	18	11	22
chr9_119350830_119359322	0	2	2	0
chrX_96329476_96334110	73	75	81	81
chr1_72255100_72267674	3	4	3	8
chr1_123226585_123230004	7	4	7	6
chr1_137713134_137726614	3	2	0	2
chr1_187277554_187278732	1	0	1	2
chr10_41238829_41241171	34	31	36	31
chr10_75383667_75384848	0	1	2	3
chr10_80730061_80735994	10	10	11	13
chr10_80749711_80754217	7	13	11	11
chr10_86307598_86314570	2	3	2	4
chr11_4022012_4024659	4	7	5	3
chr11_11794784_11799322	22	22	24	14
chr11_45748272_45759779	3	4	6	5
chr11_53232639_53249500	1	0	5	1
chr11_59648821_59655631	1	0	0	1
chr11_72606994_72613855	2	1	2	1
chr11_87378976_87392984	3	2	0	2
chr11_93817485_93819383	50	61	64	59
chr11_97602998_97607829	2	2	2	0
chr11_98443059_98455010	7	6	7	7
chr11_98599910_98602415	5	6	4	8
chr11_101036486_101037110	24	27	26	23
chr11_102002473_102009797	9	13	12	9
chr11_105924210_105933047	0	2	1	3
chr11_115664989_115696757	3	4	3	6
chr12_29436317_29441686	2	2	3	1
chr13_23770108_23782994	56	61	58	57
chr13_24005056_24010090	18	14	21	18
chr13_32888473_32895998	0	1	1	4
chr13_34166014_34172451	11	13	9	11
chr13_34221326_34224102	1	3	4	8
chr13_53070732_53081378	35	38	42	32
chr13_58314288_58330586	12	9	11	8
chr13_60702799_60704837	64	53	55	63
chr14_9090129_9093107	58	59	49	56
chr14_30789977_30800023	6	16	14	13
chr14_32402284_32407594	3	1	0	6
chr14_66737947_66744711	3	3	3	3
chr14_70913111_70927337	3	5	7	6
chr15_76404845_76407050	2	1	2	6
chr15_78228815_78241432	6	2	7	8
chr15_81950355_81979720	5	6	6	6
chr15_89169981_89189343	16	22	23	20
chr15_89202854_89207889	27	32	28	48
chr15_100458032_100468304	1	1	0	0
chr16_26366379_26373114	12	11	12	11
chr16_98182800_98186222	3	4	7	5
chr17_24830556_24835797	10	5	4	9
chr17_25020517_25025153	11	13	14	12
chr17_28369409_28373318	3	2	7	6
chr17_29218939_29231284	1	2	3	4
chr17_30748464_30750392	3	1	1	3
chr17_35102883_35110406	12	11	10	13
chr17_36046598_36056241	8	9	14	13
chr17_50645667_50651641	10	18	12	15
chr17_56255091_56260895	17	14	22	20
chr17_56357704_56360282	17	9	8	18
chr17_57147238_57158584	12	13	19	15
chr18_21100343_21108065	24	19	13	22
chr18_65045490_65048325	9	17	17	18
chr19_3684447_3693103	6	17	16	12
chr19_7015782_7026817	2	1	1	2
chr19_8986005_8998527	54	52	44	43
chr19_12571712_12581887	16	11	12	9
chr19_12669599_12675585	28	40	22	25
chr19_24296325_24299764	0	1	1	1
chr19_46196549_46207215	2	1	3	1
chr2_24805074_24806280	13	14	16	13
chr2_32555628_32564290	8	11	13	14
chr2_92286293_92303246	2	1	1	2
chr2_153474261_153498737	5	4	5	4
chr2_154426494_154446183	3	5	3	2
chr2_167905830_167907563	1	1	1	2
chr2_180917369_180923728	11	13	13	16
chr2_180945217_180948683	4	8	6	5
chr3_89184799_89203091	3	3	3	4
chr3_93351220_93359460	24	26	29	25
chr3_101724526_101734698	1	2	1	0
chr3_104436362_104444542	3	2	1	3
chr4_33374235_33377339	7	10	10	6
chr4_41699219_41707682	11	7	12	10
chr4_45857318_45861878	5	7	10	9
chr4_46548554_46556447	2	6	4	3
chr4_118079481_118089464	4	4	4	3
chr4_135539444_135543409	2	2	2	4
chr4_147502963_147515190	8	5	7	10
chr5_33548644_33561729	1	1	4	5
chr5_76729825_76739603	0	0	0	1
chr5_136669223_136676018	2	2	1	1
chr5_147887549_147891585	25	22	31	31
chr6_29678432_29693380	3	1	3	2
chr6_49213060_49217521	5	7	4	5
chr6_72296382_72298421	4	10	6	6
chr6_134589569_134594526	46	51	45	40
chr7_13547301_13557357	30	32	30	31
chr7_19811252_19821419	7	14	9	8
chr7_25371522_25376171	5	17	12	13
chr7_31139344_31159880	7	10	14	10
chr7_52110251_52113885	2	4	8	4
chr7_116758815_116762673	25	25	22	24
chr7_117125484_117132128	4	4	4	4
chr7_119369052_119370656	6	4	5	7
chr7_120349173_120358837	3	0	0	2
chr7_129203199_129211983	2	3	1	3
chr7_132694561_132698224	13	13	20	13
chr7_135658040_135673442	17	18	18	17
chr7_148747348_148753705	8	10	12	5
chr7_150254491_150258019	5	8	5	7
chr8_25678265_25688563	3	4	2	5
chr8_37515612_37526276	8	1	2	4
chr8_72656702_72671953	8	10	11	12
chr8_97665645_97676807	10	5	10	12
chr9_36604202_36608141	12	12	9	12
chr9_37012827_37016618	7	7	6	7
chr9_62181998_62192203	9	3	6	3
chr9_65141507_65150071	4	2	5	5
chr9_67605582_67607534	3	3	4	5
chr9_75288069_75301013	5	10	8	7
chr9_121819520_121826707	1	0	4	3
chr9_123117359_123125499	0	0	1	1
chrX_7252561_7259920	6	5	5	7
chrX_34184712_34201189	0	0	3	1
chrX_100544756_100556395	7	5	3	6
