25	22	5	29	19	1	39	34	9	8	76	8	20	1	26	11	5	36	29	46	63	11	6	30	24	25
21	1	11	47	30	1	5	15	13	27	33	10	7	29	7	15	16	6	2	13	8	22	7	1	21	41
35	48	1	41	7	16	17	11	26	9	15	28	52	37	41	17	7	10	18	42	9	8	40	35	48	1
7	15	12	7	19	11	68	4	1	25	22	25	1	1	6	2	4	19	3	11	7	2	24	30	35	9
17	14	6	111	4	35	3	28	8	1	8	3	29	30	10	22	40	7	72	26	35	9	75	1	2	2
35	32	1	3	5	5	7	10	10	14	20	5	21	21	2	10	4	2	17	13	12	2	6	9	35	32
11	19	3	17	12	28	2	24	8	15	3	17	2	4	16	24	15	39	2	5	21	34	11	6	20	11
21	5	3	34	9	26	113	39	17	10	2	12	4	3	11	4	13	59	4	6	5	30	30	6	3	21
9	4	38	13	9	28	14	30	27	41	13	72	39	4	10	10	22	43	8	3	17	1	70	14	6	20
64	27	41	18	12	30	21	9	3	7	2	43	1	5	17	8	16	7	11	14	7	49	4	3	64	27
4	7	1	4	46	19	9	4	14	4	4	2	17	17	8	30	60	7	6	12	9	23	24	6	4	7
25	29	27	2	15	12	35	56	18	12	5	137	11	6	38	1	63	4	37	4	40	3	1	3	25	29
39	34	14	14	7	37	29	39	15	3	68	8	21	6	22	9	3	38	55	26	8	3	1	30	6	39
1	52	7	4	4	12	5	19	2	17	8	6	3	16	12	4	13	25	3	27	18	3	1	10	15	1
34	2	51	14	5	12	5	6	9	28	14	5	54	7	4	24	55	2	7	3	109	38	39	11	13	4
12	16	2	59	14	10	31	2	1	26	28	5	12	6	27	9	28	42	2	17	8	6	18	12	16	2
46	7	24	1	7	27	11	4	11	46	2	17	6	17	9	18	2	5	20	30	35	17	20	6	9	46
6	5	40	6	11	3	6	9	4	16	6	50	4	3	31	2	43	4	8	26	17	2	16	8	4	6
13	9	27	25	111	50	16	20	9	3	4	4	19	8	4	17	137	62	7	29	16	38	24	44	3	30
17	3	11	55	5	6	75	40	21	56	25	5	13	7	2	75	8	3	17	2	7	23	3	12	17	3
6	10	13	4	55	46	24	6	41	11	9	5	10	8	54	30	2	29	3	33	37	18	15	49	3	7
23	5	15	84	6	55	44	19	31	30	84	16	46	21	3	1	2	40	1	4	11	30	5	52	40	23
5	12	54	7	40	23	59	13	46	29	17	1	26	17	16	8	3	2	1	18	4	19	27	6	25	5
6	3	19	55	4	2	5	5	8	6	3	5	15	8	10	9	42	22	10	15	7	24	16	4	12	69
15	4	11	18	23	29	63	6	7	26	6	1	8	59	70	2	3	5	4	4	9	7	5	15	4	11
1	7	2	3	50	4	12	32	8	36	12	4	18	27	62	8	7	16	3	7	11	32	9	4	27	1
27	2	8	8	6	24	31	8	22	8	23	8	3	46	6	11	1	2	3	1	4	35	26	16	27	2
125	5	6	14	6	55	10	13	25	24	4	11	21	1	12	12	3	28	2	13	39	17	10	3	4	29
6	9	5	26	68	8	1	68	18	19	14	5	9	6	9	3	15	10	25	44	46	38	46	14	6	9
4	4	64	7	55	42	12	55	9	30	10	6	32	16	5	10	8	4	22	7	1	18	20	13	29	4
21	3	42	14	9	6	12	11	10	25	12	3	9	23	2	24	3	15	93	5	8	9	22	21	3	42
16	11	11	17	12	3	12	14	6	7	16	1	30	16	20	3	18	2	29	11	22	11	25	21	16	16
2	48	8	19	2	7	2	6	21	72	1	7	11	28	39	9	16	37	2	16	21	8	29	2	48	8
92	70	16	42	35	9	8	43	2	1	27	57	12	26	31	5	7	18	9	9	9	2	13	8	18	92
35	9	1	38	11	2	1	68	14	48	2	28	3	10	7	7	17	4	16	16	9	7	4	6	44	15
46	5	5	10	28	29	35	13	9	30	8	22	16	2	2	10	21	4	12	48	33	13	6	36	9	46
22	1	14	3	1	20	3	9	1	6	23	4	37	4	52	7	41	41	15	18	11	7	16	2	25	8
68	42	1	2	1	12	9	21	63	22	27	3	4	33	44	8	11	23	4	3	28	26	1	68	42	1
39	46	26	4	48	5	27	15	28	7	19	37	84	12	33	21	9	41	5	11	14	42	27	46	18	39
26	55	2	18	25	3	52	30	47	16	14	19	70	32	16	35	17	25	28	4	58	3	3	2	1	26
9	50	5	32	1	26	15	5	17	3	6	3	18	14	92	2	41	22	59	3	14	2	39	32	47	11
38	12	21	29	5	1	16	5	44	2	2	46	37	27	29	27	48	26	4	29	3	112	109	8	22	38
67	9	35	62	12	11	15	18	39	5	4	4	21	14	7	3	16	3	2	7	68	44	24	14	6	6
46	4	2	21	8	38	19	7	4	6	18	18	3	13	38	39	30	47	6	7	3	23	17	41	38	28
4	17	9	103	8	6	9	12	4	16	29	2	5	7	8	6	6	17	18	6	29	9	59	34	4	17
46	17	32	3	24	9	10	24	2	13	7	3	7	4	8	4	15	1	9	1	4	17	38	54	21	46
4	43	16	8	34	46	21	3	26	2	9	41	15	39	16	10	149	6	54	3	1	2	19	9	12	11
29	2	2	11	38	54	3	9	22	4	8	8	4	60	9	29	9	25	1	4	5	5	10	31	7	29
34	4	35	5	39	29	49	15	4	35	1	6	3	81	25	55	11	6	34	8	16	1	46	3	68	34
4	55	59	40	12	11	21	5	46	3	13	15	14	7	66	6	5	45	12	3	13	2	27	24	4	55
28	8	9	40	27	7	2	3	36	23	6	64	20	9	6	25	6	7	6	11	28	15	23	17	32	6
42	14	7	21	28	47	3	39	17	22	5	7	36	4	8	5	25	2	1	19	17	29	1	1	23	42
76	25	41	17	4	17	2	29	19	9	5	23	6	48	24	22	5	6	3	14	5	2	14	36	5	76
13	18	40	6	19	4	20	9	23	10	15	9	3	4	18	5	66	6	15	4	30	24	3	3	13	18
4	17	5	8	2	4	32	14	15	23	9	30	13	9	3	24	4	1	14	39	46	26	29	22	50	18
26	9	22	16	93	10	11	12	71	14	4	8	15	2	11	30	19	1	10	2	9	19	9	16	76	26
8	40	36	6	6	9	24	22	22	6	33	6	18	10	67	15	3	17	8	12	11	46	43	40	25	18
42	44	5	11	9	30	55	13	14	8	54	34	35	22	12	3	33	1	23	18	28	25	10	32	39	42
14	3	5	9	12	6	6	5	55	6	8	33	19	3	10	4	9	4	20	11	13	9	4	68	10	20
10	7	33	40	4	15	6	71	27	46	16	46	6	7	13	40	26	7	11	8	2	34	15	5	10	7
