23	35	11	6	13	3	9	9	47	7	20
30	5	37	9	7	18	19	9	18	6	5
2	43	7	9	6	47	3	4	5	5	21
6	11	17	36	11	5	11	4	9	11	8
5	20	34	25	40	4	8	7	27	5	20
5	10	9	3	46	6	5	75	28	16	19
6	3	13	27	9	21	22	25	38	34	32
11	17	11	72	9	27	4	6	20	6	11
37	3	10	2	11	18	3	17	19	10	25
17	59	31	1	10	11	36	9	6	84	7
20	38	19	47	9	14	39	17	7	23	6
19	33	47	3	30	23	12	8	6	4	19
12	1	4	11	23	4	13	10	17	15	38
3	17	46	21	6	5	22	2	47	5	4
25	22	7	16	6	6	42	48	22	2	45
9	12	3	29	24	27	11	25	8	4	9
4	21	14	36	9	35	2	4	4	6	4
40	14	14	59	8	7	68	66	38	6	40
6	2	10	38	5	20	28	40	30	10	6
26	8	44	2	5	12	28	9	22	16	26
19	2	1	7	15	19	20	7	23	5	149
23	28	46	29	11	29	4	1	45	19	23
6	12	13	32	2	11	43	11	35	137	6
13	17	6	4	9	2	6	11	55	45	13
16	9	113	15	2	7	28	38	16	5	2
19	2	21	7	1	17	15	28	9	43	19
24	15	22	7	4	30	3	25	7	18	2
10	3	20	19	3	59	5	11	10	46	3
27	2	13	5	7	40	10	22	22	27	2
43	3	10	12	2	16	13	2	4	11	16
15	34	68	47	46	38	23	58	22	11	38
29	8	93	36	22	20	6	6	5	59	7
3	2	25	22	8	9	19	42	28	4	3
5	38	5	15	35	22	18	9	41	1	5
5	24	46	29	12	7	3	5	24	14	5
29	38	2	45	27	16	5	1	8	15	40
8	18	3	27	4	5	9	31	41	4	18
23	32	1	9	10	11	3	2	7	3	39
2	12	11	22	12	22	23	9	53	1	8
37	34	17	39	37	7	10	3	3	3	22
3	5	11	12	6	14	16	9	8	6	36
2	16	9	35	28	2	6	16	3	3	5
44	3	9	8	37	5	55	40	1	2	7
10	19	17	30	3	4	4	6	58	46	18
18	62	26	16	3	13	7	19	6	4	18
75	1	45	19	14	4	4	18	7	26	13
5	8	2	5	15	28	11	11	7	5	21
93	55	36	46	3	29	4	9	11	11	24
5	14	11	49	5	4	11	24	1	27	5
21	2	14	6	47	14	59	43	7	10	21
46	18	11	12	26	20	18	39	12	17	1
11	20	8	29	4	35	15	1	11	19	11
19	3	16	5	42	18	52	5	20	1	10
7	24	5	4	7	5	37	4	30	3	24
11	6	15	24	31	13	54	3	11	5	58
7	4	27	71	40	24	2	3	14	7	5
38	49	6	3	5	4	23	46	15	8	1
23	8	39	5	11	28	5	33	2	2	6
39	6	24	32	17	76	15	7	16	3	3
43	3	12	3	32	68	27	7	18	22	36
6	47	15	2	55	4	27	20	3	15	29
17	7	25	5	28	14	15	35	6	18	17
30	4	32	4	15	24	17	17	112	21	64
47	5	6	16	4	36	11	1	10	13	47
25	39	6	15	7	6	8	4	75	14	27
24	6	1	46	66	35	18	3	15	20	24
19	7	17	9	22	25	23	32	7	3	4
5	27	33	6	44	48	4	1	58	5	27
23	8	9	28	27	93	18	11	2	1	23
2	28	7	12	10	4	8	39	28	11	15
25	15	4	46	6	30	28	2	17	13	12
68	17	6	18	66	4	62	40	27	3	6
34	11	66	46	40	3	12	4	30	23	5
32	24	2	9	5	54	9	9	5	18	32
32	12	4	30	3	17	29	34	52	49	11
3	13	12	54	17	31	17	3	17	3	39
24	10	12	59	1	5	93	6	4	24	8
11	22	13	14	6	8	13	3	9	14	6
6	29	3	14	2	3	21	17	8	37	6
15	22	2	5	7	14	7	5	9	10	26
10	6	5	22	9	5	8	8	17	38	10
36	29	6	31	21	22	29	22	22	32	36
37	22	4	5	5	10	4	7	29	4	37
19	18	23	19	29	10	8	2	9	4	19
68	2	21	7	28	2	49	7	40	4	30
92	93	1	29	7	17	15	38	50	40	43
93	15	46	24	6	72	1	19	32	4	6
18	58	36	58	5	49	4	18	9	13	18
7	16	5	75	34	13	8	45	19	17	3
21	22	18	3	76	14	1	8	5	29	4
9	3	29	28	18	1	3	24	5	3	9
5	25	42	8	6	7	13	4	46	5	25
2	15	17	3	9	30	15	24	17	36	2
7	25	2	3	48	84	40	66	13	20	11
7	58	41	36	5	9	6	13	1	21	23
11	47	45	32	24	1	22	59	17	18	11
32	39	2	3	22	17	15	29	9	11	32
8	27	3	22	9	11	22	32	6	34	9
9	1	6	59	11	15	4	13	16	9	1
2	8	8	44	37	2	8	24	51	49	30
