12	0	2	2	6	1	4	9	1	0	12	2	5	0	0	4	3	3	12	5	11	8	0	0	3	13
11	0	5	15	8	0	4	4	7	4	10	1	1	11	3	2	6	2	0	8	6	7	1	0	3	8
20	6	0	0	20	0	6	4	1	13	4	0	1	7	15	15	12	0	0	7	3	7	1	6	0	6
4	10	5	1	15	1	15	0	0	5	3	15	0	1	0	0	0	8	1	4	2	0	6	3	11	1
7	6	1	17	1	4	1	14	0	0	5	2	8	16	0	0	14	0	19	11	8	2	11	0	0	0
11	7	0	2	2	0	1	4	3	8	0	8	1	8	15	0	4	1	1	2	8	1	0	2	0	5
6	8	2	3	6	15	0	13	0	9	1	2	1	1	0	6	11	1	13	1	4	11	12	8	2	0
11	1	2	12	0	17	0	27	6	2	3	0	0	2	0	2	1	4	9	0	5	4	5	11	1	3
0	2	12	8	3	7	0	10	11	20	9	14	11	1	6	3	5	8	2	1	0	1	20	3	4	5
19	8	15	4	4	10	11	4	0	3	3	2	8	0	3	2	0	6	1	1	8	4	0	15	3	2
0	3	1	1	12	11	1	2	3	0	2	0	0	3	5	0	0	3	19	2	5	2	4	7	7	0
12	12	0	7	0	1	0	2	11	6	6	1	30	1	4	16	1	0	20	1	16	0	7	0	0	1
12	20	6	0	3	8	13	13	9	1	0	16	6	3	3	7	1	1	16	10	11	2	0	0	5	2
0	4	4	1	3	1	1	6	1	1	6	0	2	6	1	0	0	2	0	0	11	7	0	0	8	9
20	0	16	3	0	3	1	1	1	5	3	1	22	2	0	10	16	2	1	1	22	0	9	5	0	2
4	10	0	26	6	1	6	2	0	10	14	0	0	3	2	0	15	2	7	0	7	2	8	6	4	9
4	4	0	5	0	2	15	6	0	1	9	0	5	5	0	0	6	0	3	0	9	2	9	6	1	0
2	2	9	2	8	0	0	4	3	3	0	3	16	2	0	6	0	20	3	3	4	2	1	7	1	0
8	5	11	8	17	14	5	8	6	3	1	1	5	0	1	7	30	25	5	12	7	15	13	16	2	16
3	0	0	3	16	3	5	11	7	4	11	20	3	4	1	0	29	7	1	4	1	1	13	0	0	5
3	8	8	1	16	9	5	3	12	7	4	0	3	0	22	17	1	2	1	12	15	5	9	29	0	4
13	3	0	0	17	0	15	7	8	6	14	17	10	6	2	0	0	1	6	0	3	6	6	2	4	11
2	0	1	7	2	14	10	9	4	17	12	0	1	10	5	1	7	0	1	0	7	1	1	11	1	8
3	3	7	0	1	0	1	2	6	0	1	3	2	0	4	2	11	12	6	8	4	5	6	0	1	22
1	1	4	8	0	15	11	20	2	4	4	0	1	2	20	0	20	2	1	0	1	0	1	1	7	1
0	1	2	0	4	2	6	6	0	3	2	1	5	0	21	0	2	0	2	5	3	0	15	6	0	13
10	2	4	3	2	6	0	6	3	3	7	6	4	1	0	11	3	4	1	1	0	1	3	10	17	5
17	0	1	7	2	4	5	3	8	11	0	7	5	1	6	6	0	15	2	2	4	0	4	1	0	12
