17	7	16	9	2	9	0	20	4	0	0	4	3	19	3	5
3	30	9	11	6	5	5	5	4	22	0	1	0	13	10	2
4	16	1	3	11	0	0	11	5	1	3	2	7	8	0	10
20	12	4	1	15	5	0	5	7	6	7	2	1	22	0	12
1	8	4	3	4	1	8	0	6	1	14	5	0	0	19	4
1	0	6	4	2	0	7	3	1	10	11	22	0	14	5	0
1	2	11	0	0	7	0	9	2	0	5	2	4	3	0	5
18	10	1	0	2	9	4	6	10	0	7	0	0	2	0	19
2	1	1	3	2	20	1	0	2	15	0	15	9	2	0	0
15	8	11	4	8	0	1	10	0	8	0	22	1	0	3	15
5	7	0	9	3	8	15	12	21	1	0	11	15	4	0	1
5	2	1	2	0	0	1	0	11	0	7	4	0	11	3	6
4	15	12	4	6	1	0	5	5	7	4	6	10	0	5	3
1	7	4	11	12	15	0	0	5	13	0	6	2	0	1	26
5	11	7	5	0	0	2	15	2	9	6	2	0	7	3	22
2	20	2	14	7	15	0	2	13	6	4	1	2	6	0	5
3	4	12	16	2	2	14	7	5	17	10	2	4	5	5	13
5	12	0	10	0	20	1	8	0	2	0	12	17	20	3	7
16	6	2	11	0	1	14	11	4	11	3	8	8	2	1	2
14	0	4	14	4	3	26	4	6	1	6	0	6	5	1	1
2	1	13	2	2	0	5	3	1	1	1	10	0	2	2	0
1	7	1	2	6	3	8	0	5	14	3	10	5	5	8	7
5	0	5	0	3	6	8	4	2	7	0	20	13	1	4	20
5	3	2	15	5	0	0	0	0	6	0	0	1	22	2	14
6	3	6	5	1	5	5	0	3	15	2	0	5	0	2	8
0	15	0	2	0	7	11	7	3	0	1	30	5	16	0	2
3	16	6	4	7	4	1	4	5	3	15	6	15	2	11	2
9	7	0	20	2	3	0	17	3	1	7	0	7	3	1	2
26	2	20	5	6	19	1	7	0	6	0	10	0	5	4	0
3	5	0	5	3	4	2	2	9	3	8	3	10	0	8	0
12	4	18	4	1	0	20	1	0	8	1	2	16	6	1	15
1	10	2	0	1	5	7	0	3	20	0	13	6	2	8	11
2	22	2	5	0	26	1	9	0	0	12	2	1	7	0	8
8	0	20	11	0	12	1	2	3	0	1	0	1	3	4	1
1	5	0	12	17	0	6	8	1	4	16	25	9	3	7	1
19	2	6	9	6	1	0	1	16	3	5	0	4	4	3	1
4	0	8	2	8	15	0	6	6	1	7	1	3	0	2	17
3	1	13	2	4	2	2	11	6	2	0	12	2	1	0	13
6	14	3	15	8	10	20	15	2	20	0	3	7	11	7	0
14	2	4	0	4	2	6	15	7	4	5	4	10	4	1	15
0	11	10	7	4	6	2	2	6	1	8	19	8	4	3	0
2	0	0	7	19	3	10	2	8	11	2	11	1	0	6	6
1	17	13	0	2	10	7	5	4	5	16	7	0	1	0	4
2	0	1	24	13	9	0	2	13	1	11	1	4	4	2	1
11	0	0	8	2	5	14	3	9	10	0	4	11	36	6	11
4	11	12	1	11	10	0	2	10	0	13	1	0	1	3	0
0	1	8	6	2	7	1	19	0	29	0	22	1	1	8	12
9	26	7	36	0	16	2	1	2	10	20	1	21	11	5	15
0	6	5	5	12	5	1	1	14	5	1	2	22	1	13	5
0	10	3	3	5	9	1	13	2	3	12	3	15	2	10	1
9	1	3	1	1	0	0	14	1	1	13	5	0	0	6	3
0	10	17	1	12	1	1	4	14	4	1	6	11	2	12	0
17	8	6	1	5	2	8	0	12	0	0	1	6	2	20	0
5	2	1	8	14	5	1	12	9	2	9	0	0	16	3	5
