1	30	18	3	62	11	14	45	46	55	30	3	9	6	2	7	8	4	1
5	2	15	4	4	9	40	8	4	6	48	2	52	36	11	8	32	5	2
28	35	40	37	3	15	7	5	56	5	5	2	9	1	20	42	21	21	28
55	23	3	5	21	39	25	63	33	23	7	12	10	40	2	51	14	8	1
5	55	46	17	58	1	46	9	7	4	15	3	9	27	4	1	2	3	5
4	17	23	13	27	3	21	7	10	17	8	35	1	53	18	137	26	7	3
4	7	13	40	4	2	27	4	7	14	30	34	3	5	11	24	13	13	4
14	2	16	8	9	3	11	1	22	3	4	1	12	44	24	5	14	2	16
48	1	6	4	12	84	9	15	21	3	22	10	75	36	40	1	10	27	48
5	32	14	7	11	7	12	3	31	14	2	77	17	1	39	13	18	17	40
6	19	4	20	14	47	4	2	16	4	12	15	22	2	55	3	9	29	6
1	26	41	26	7	22	1	43	28	37	9	14	21	6	11	14	27	4	1
18	35	45	27	3	6	38	62	6	4	46	39	3	26	28	3	18	35	45
54	2	58	39	2	27	1	63	24	9	10	2	24	11	32	1	49	50	54
26	17	2	38	5	13	68	7	1	19	3	21	26	9	18	40	13	17	26
5	13	5	7	27	12	19	10	1	8	8	55	19	63	9	21	64	5	13
6	21	30	8	24	7	69	7	21	46	3	5	10	44	43	18	28	33	6
25	27	39	15	32	36	13	25	15	8	68	17	15	1	2	6	113	18	9
4	24	12	8	2	7	42	5	26	14	17	5	36	11	21	8	20	1	6
5	70	32	2	2	3	2	109	30	48	48	6	13	17	5	22	14	42	56
18	30	5	8	22	16	19	11	2	2	4	11	7	14	11	20	6	11	18
6	13	26	23	25	8	20	36	23	17	14	7	3	17	15	63	7	21	6
40	8	10	3	24	3	19	76	7	4	2	18	56	20	4	1	34	57	19
25	2	3	2	9	30	12	31	14	7	27	28	56	17	37	25	19	22	25
53	30	3	2	10	12	7	3	9	21	19	19	22	75	149	11	5	6	53
137	8	7	49	12	61	12	4	46	12	38	10	21	22	69	7	13	6	137
15	35	59	17	5	137	66	10	5	19	25	56	5	6	23	2	1	4	11
76	6	3	5	14	137	44	29	23	2	1	9	27	9	77	13	76	6	3
24	3	15	11	51	9	7	5	2	25	8	4	3	3	2	76	4	23	24
