13	9	33	6	4	9	3	50	3	4	2	9	0	41	0	27
1	107	14	13	20	15	7	14	6	87	22	3	2	8	34	3
9	13	1	15	50	2	3	9	16	6	14	1	5	20	8	16
43	10	9	4	13	1	1	22	15	9	37	2	2	30	2	29
0	35	3	17	1	14	9	0	24	6	25	6	0	3	41	6
15	6	7	7	5	3	9	1	8	24	25	25	7	25	20	25
3	2	24	2	9	16	4	17	4	6	6	1	2	0	23	25
41	25	5	1	1	30	6	12	16	14	1	2	0	5	2	53
11	18	10	6	4	14	11	1	17	10	23	13	15	2	3	27
10	12	28	1	6	7	0	17	1	22	3	87	4	25	11	4
16	16	22	50	3	35	17	10	8	1	1	31	54	13	6	6
6	9	1	3	3	21	7	4	28	0	29	48	4	16	16	14
5	11	34	13	70	1	2	24	18	15	5	2	23	1	3	31
7	10	17	8	25	37	13	0	19	32	1	12	4	5	8	40
8	15	9	27	0	3	3	8	13	8	4	1	4	25	64	32
8	5	11	25	0	14	2	7	64	17	5	11	14	2	0	6
14	8	34	28	3	4	14	9	11	13	28	9	17	18	41	16
1	32	0	17	7	33	3	5	3	6	1	36	132	48	2	16
31	34	4	10	2	3	25	29	18	28	2	3	13	5	1	9
14	0	42	14	17	1	33	3	26	8	2	1	40	17	5	11
4	4	64	17	4	3	13	5	0	19	3	10	0	4	9	0
1	33	3	3	16	20	13	8	1	14	0	23	0	28	27	11
18	0	13	38	15	10	10	8	1	15	0	5	26	11	2	14
16	5	3	8	2	2	0	4	3	13	8	1	11	30	1	78
12	5	7	13	0	19	1	1	3	4	17	3	41	10	5	7
6	17	38	19	0	9	25	47	21	26	0	107	16	21	3	5
7	30	34	42	11	9	3	7	13	1	12	6	37	3	64	5
14	21	1	14	7	16	0	67	2	1	15	0	13	31	4	1
40	5	50	15	16	41	4	0	2	14	2	13	1	7	1	23
0	7	7	4	1	6	7	4	42	0	12	1	25	0	17	0
17	43	6	5	7	2	48	22	16	3	10	3	30	12	3	14
11	10	15	24	1	12	12	0	2	25	7	26	5	7	10	40
0	47	3	25	7	18	3	8	23	3	91	4	0	13	2	9
10	3	50	16	0	36	1	21	3	20	0	4	4	6	17	9
9	1	10	91	42	6	33	25	0	3	39	37	50	5	15	8
56	2	34	16	6	2	0	7	34	53	4	7	3	43	26	8
9	8	10	4	19	56	6	5	10	8	16	4	15	3	4	67
0	9	32	0	11	10	0	35	26	7	4	25	4	18	6	10
6	29	1	6	33	48	23	10	6	15	0	3	16	24	9	9
29	4	5	36	18	15	8	53	9	2	8	4	17	3	8	54
8	50	29	12	5	9	0	2	2	2	9	49	9	6	1	2
4	2	4	13	49	9	6	5	50	20	8	13	4	0	1	5
4	67	40	9	11	13	16	16	9	4	27	2	25	4	0	22
3	0	7	29	13	30	4	4	26	7	16	5	14	4	2	8
16	10	6	19	21	13	14	3	2	19	3	11	25	13	2	28
13	15	25	3	29	23	0	4	28	5	14	14	7	5	1	3
0	15	28	16	5	9	4	22	25	20	1	120	3	11	13	10
9	50	10	13	1	28	4	1	0	61	28	0	41	25	11	13
17	13	27	3	64	13	1	12	58	16	3	5	30	0	28	11
0	45	1	4	6	23	3	8	3	4	24	1	17	0	36	2
8	0	16	12	6	0	0	14	6	8	26	2	3	19	3	6
1	20	42	0	20	7	11	3	29	5	8	34	28	0	26	1
13	2	12	12	13	0	22	2	29	9	2	0	13	5	32	2
19	3	2	10	32	13	9	13	42	4	17	5	3	21	15	20
1	21	25	5	53	19	1	58	6	21	23	6	6	8	13	23
6	8	30	12	2	31	2	13	14	2	5	17	14	5	2	2
5	7	9	1	32	4	10	3	3	28	29	0	30	2	2	8
9	8	27	1	4	2	2	3	1	3	2	7	4	2	2	9
10	46	4	3	23	34	5	2	2	24	27	2	16	8	23	1
20	17	0	41	36	4	18	10	8	0	8	4	10	7	13	35
8	28	4	18	1	15	24	94	16	7	32	30	19	82	6	49
7	33	0	9	7	10	7	1	21	8	0	21	1	3	52	9
26	7	7	0	8	4	14	13	19	25	5	3	4	22	0	8
4	8	5	1	10	1	6	0	35	20	0	29	3	2	3	4
35	10	16	4	1	9	3	48	9	10	5	5	3	40	6	0
5	0	1	3	3	28	16	27	5	16	11	82	2	1	5	20
10	10	21	2	3	10	2	43	17	28	2	23	0	2	4	42
26	42	1	4	4	21	25	4	56	0	8	0	58	7	56	0
17	4	17	1	18	2	0	4	5	0	16	39	0	25	3	8
7	11	0	62	6	17	5	14	10	25	34	7	15	1	0	8
19	5	14	6	8	5	7	11	16	31	42	3	3	0	8	26
2	6	2	16	17	16	20	7	3	1	4	13	5	14	1	6
9	4	4	7	17	2	7	4	8	19	67	8	3	3	1	2
3	21	25	8	11	4	4	41	1	2	16	10	25	4	2	34
4	6	3	4	2	13	4	3	50	0	40	21	9	9	56	8
1	3	22	31	6	5	8	7	6	9	25	0	4	23	27	30
9	4	11	8	0	14	1	5	16	14	10	17	3	1	1	3
3	4	4	4	36	4	25	6	22	50	15	22	11	19	29	10
17	14	28	9	16	15	48	6	2	49	24	6	1	15	0	2
2	1	4	32	3	17	3	25	7	2	7	3	3	33	5	70
0	50	62	35	17	19	8	10	6	5	8	42	0	28	2	4
4	1	11	0	2	0	0	19	7	6	40	14	49	20	8	39
0	3	4	2	10	3	5	3	20	23	33	2	7	40	5	1
26	6	25	0	2	8	2	2	24	9	36	42	10	6	29	108
0	14	2	16	20	4	0	26	1	4	6	17	4	8	10	31
4	10	0	11	2	0	19	9	14	7	2	1	8	1	3	24
37	11	6	13	67	4	2	3	1	20	3	4	0	3	0	2
29	0	1	11	17	3	24	6	13	18	4	4	13	19	9	29
51	6	4	0	9	0	17	2	8	1	1	25	2	48	13	0
28	5	4	4	2	24	25	5	3	4	0	3	8	2	14	0
29	26	2	7	4	8	1	18	1	25	12	4	8	51	11	17
7	5	3	23	21	22	17	2	13	8	5	14	6	3	0	17
1	13	4	2	1	1	6	62	16	16	2	1	4	5	107	78
6	16	4	9	5	0	0	31	3	3	3	19	19	9	8	4
45	2	25	11	4	3	1	4	2	14	12	13	29	13	33	20
12	1	24	6	47	11	0	3	14	4	1	19	1	3	3	11
0	10	16	12	1	8	6	1	3	46	10	9	35	43	6	6
15	10	52	2	19	0	5	18	3	0	7	12	22	4	8	5
24	33	13	11	0	19	16	3	2	8	1	3	1	6	21	14
3	3	3	1	22	6	19	1	7	8	34	1	1	0	13	13
