0	27	13	3	41	4	8	32	37	39	21	3	9	5	1	2	0	8	4
4	2	7	3	2	7	34	5	0	3	0	4	42	2	32	24	4	5	26
16	24	25	25	2	0	13	6	0	53	5	4	2	7	0	14	35	13	17
45	20	0	5	16	37	23	52	23	10	3	2	10	26	2	35	8	8	1
4	39	42	8	50	0	30	5	5	2	0	11	2	8	17	1	1	2	1
4	17	20	10	24	1	13	6	9	8	8	27	0	29	11	107	22	4	0
2	2	10	31	0	2	27	3	0	11	13	23	3	3	10	19	9	11	3
8	1	10	8	4	2	3	0	0	1	15	0	4	1	10	0	18	19	3
36	1	6	4	6	67	8	7	0	17	2	15	7	46	36	29	1	6	23
3	19	14	5	7	6	4	3	25	8	1	64	12	1	25	9	16	9	26
5	12	2	17	11	43	4	0	11	3	6	0	9	19	0	45	3	7	19
1	17	28	22	6	19	0	27	21	25	6	11	13	5	4	8	23	0	1
13	24	32	19	3	2	32	51	1	0	3	0	38	30	3	0	9	13	2
47	2	50	28	1	24	1	52	13	8	4	2	22	6	19	1	34	48	0
26	12	1	30	5	13	49	0	4	1	8	0	16	13	7	10	34	10	13
4	7	1	0	3	0	14	11	18	9	0	8	8	39	12	43	7	17	45
6	13	13	8	13	4	54	4	17	43	3	3	9	29	35	0	13	23	25
23	23	29	5	25	25	5	25	11	4	53	17	14	0	2	1	86	10	5
4	24	8	8	2	5	31	3	16	8	13	1	28	9	8	8	13	1	6
1	50	20	2	2	3	2	87	14	33	36	4	4	5	3	15	5	35	53
0	12	22	4	8	20	11	16	7	1	2	2	10	5	14	11	15	6	9
2	9	22	0	23	17	4	20	36	13	9	11	5	2	14	6	52	7	13
34	8	9	1	24	1	14	61	3	2	2	14	45	12	3	1	31	47	8
0	25	1	2	1	8	25	6	25	8	6	17	21	53	8	29	25	11	10
33	16	0	0	6	11	5	2	7	13	4	12	20	0	64	132	7	5	4
107	8	3	13	7	50	2	4	36	11	26	4	10	0	22	47	5	10	3
14	24	42	14	5	107	40	9	3	13	13	45	4	1	23	1	1	2	3
70	5	0	0	2	3	8	0	107	29	18	16	1	1	7	16	6	64	4
0	6	3	1	9	35	4	1	3	2	14	8	4	2	2	2	61	1	23
40	5	9	13	4	34	2	2	7	31	48	4	32	5	0	10	19	2	47
46	4	1	4	4	45	2	0	10	9	23	34	1	17	11	11	27	5	4
3	29	4	9	7	3	4	3	24	0	10	1	13	5	2	23	1	18	3
2	3	4	23	3	1	14	0	13	28	43	3	18	14	1	12	24	8	0
2	7	11	14	42	64	46	8	13	8	2	6	2	3	8	28	3	14	0
7	30	8	3	2	6	3	2	33	6	1	1	2	8	5	13	25	19	20
64	19	9	14	28	3	2	3	10	17	9	4	6	6	38	3	1	0	7
15	35	24	23	7	2	3	25	5	10	107	6	40	9	4	8	14	4	0
7	6	3	17	9	22	50	8	5	1	10	2	4	9	1	82	2	33	15
11	14	13	9	14	6	47	0	2	22	26	7	4	19	23	4	3	23	12
1	6	37	13	2	6	0	5	19	4	0	7	53	14	6	14	10	5	1
4	1	2	1	4	8	11	40	9	2	9	10	3	0	34	22	32	10	5
27	5	6	31	8	6	2	16	9	50	3	15	54	45	0	9	16	31	7
6	2	1	25	10	17	40	3	8	25	5	3	37	0	6	25	6	2	10
